latitude,longtitude
35.77,129.19
35.78,129.2
35.76,129.19
35.77,129.19
35.77,129.18
35.77,129.19
35.76,129.18
35.78,129.16
35.77,129.18
35.76,129.19
35.76,129.18
35.76,129.17
35.77,129.18
35.76,129.19
35.77,129.2
35.76,129.19
35.78,129.19
35.75,129.18
35.78,129.2
35.77,129.19
35.76,129.18
35.79,129.2
35.76,129.19
35.76,129.18
35.76,129.17
35.78,129.2
35.76,129.17
35.81,129.23
35.76,129.19
35.75,129.16
35.76,129.18
35.77,129.17
35.77,129.18
35.77,129.19
35.77,129.19
35.76,129.18
35.78,129.18
35.76,129.02
35.76,129.19
35.76,129.16
35.77,129.19
35.77,129.19
35.76,129.18
35.76,129.19
35.76,129.18
35.77,129.18
35.76,129.18
35.77,129.18
35.77,129.19
35.76,129.17
35.75,129.18
35.77,129.19
35.76,129.19
35.76,129.18
35.76,129.18
35.76,129.19
35.76,129.19
35.78,129.21
35.76,129.18
35.77,129.17
35.75,129.19
35.77,129.18
35.75,129.17
35.77,129.18
35.77,129.18
35.76,129.17
35.78,129.19
35.75,129.18
35.75,129.17
35.78,129.19
35.76,129.17
35.77,129.19
35.77,129.18
35.77,129.18
35.78,129.18
35.77,129.19
35.77,129.18
35.76,129.17
35.76,129.17
35.76,129.18
35.78,129.19
35.76,129.18
35.76,129.18
35.76,129.18
35.78,129.19
35.76,129.16
35.77,129.17
35.77,129.17
35.77,129.17
35.76,129.18
35.76,129.17
35.76,129.2
35.75,129.17
35.75,129.18
35.77,129.18
35.76,129.18
35.76,129.17
35.73,129.36
35.75,129.18
35.77,129.18
35.76,129.18
35.77,129.17
33.93,126.62
35.78,129.19
35.77,129.18
35.77,129.17
35.76,129.17
35.76,129.18
35.77,129.19
35.76,129.19
35.78,129.19
35.76,129.17
35.75,129.18
35.76,129.18
35.74,129.17
35.76,129.18
35.76,129.18
35.76,129.18
35.76,129.17
35.75,129.18
35.76,129.17
35.74,129.18
35.75,129.17
35.76,129.2
35.77,129.19
35.76,129.18
35.77,129.18
35.78,129.15
35.75,129.18
35.76,129.18
35.76,129.18
35.76,129.18
35.79,129.19
35.76,129.18
35.77,129.17
35.76,129.18
35.77,129.16
35.76,129.16
35.75,129.18
35.76,129.18
35.76,129.18
35.75,129.19
35.76,129.19
35.77,129.23
35.75,129.18
35.76,129.18
35.76,129.19
35.74,129.18
35.76,129.17
35.76,129.19
35.75,129.17
35.78,129.2
35.76,129.19
35.7,129.37
35.75,129.18
35.76,129.19
35.76,129.19
35.77,129.19
35.76,129.19
35.77,129.18
35.69,129.36
35.77,129.17
35.76,129.18
35.76,129.18
36.54,128.08
35.76,129.17
35.76,129.19
36.12,129.36
