latitude,longtitude
36.11,129.37
36.1,129.36
36.12,129.39
36.1,129.36
36.11,129.35
36.1,129.35
36.12,129.37
36.11,129.35
36.09,129.34
36.11,129.35
36.14,129.38
36.09,129.35
36.09,129.33
36.12,129.37
36.13,129.36
36.09,129.35
36.14,129.36
36.12,129.36
36.14,129.37
36.08,129.31
36.14,129.37
36.09,129.32
36.14,129.38
36.14,129.38
36.11,129.35
36.1,129.35
36.11,129.35
36.1,129.35
36.11,129.36
36.14,129.36
36.14,129.38
36.1,129.36
36.1,129.36
36.13,129.38
36.14,129.35
36.09,129.35
36.09,129.35
36.14,129.36
36.14,129.37
36.08,129.34
36.09,129.34
36.12,129.37
36.12,129.37
36.1,129.35
36.13,129.37
36.1,129.34
36.12,129.36
36.11,129.37
36.12,129.36
36.12,129.36
36.08,129.33
36.12,129.37
36.1,129.35
36.11,129.34
36.09,129.35
36.12,129.38
36.09,129.34
36.12,129.36
36.14,129.36
36.09,129.35
36.09,129.34
36.11,129.33
36.1,129.35
36.12,129.35
36.11,129.37
37.23,125.04
36.11,129.35
34.05,125.57
36.1,129.35
36.11,129.35
36.69,124.65
36.1,129.35
33.24,127.32
41.32,129.2
36.75,128.82
33.42,127.15
36.02,129.45
41.32,129.13
36.1,129.35
36.1,129.35
41.32,129.1
41.31,129.11
35.61,129.99
38.32,126.18
35.77,129.42
36.09,125.64
36.72,128.01
39.31,127.15
36.11,129.36
36.11,129.36
36.14,129.37
36.11,129.36
36.11,129.36
36.11,129.34
35.76,129.17
35.77,129.19
35.78,129.2
35.76,129.19
35.77,129.19
35.77,129.18
35.77,129.19
35.76,129.18
35.78,129.16
35.77,129.18
35.76,129.19
35.76,129.18
35.76,129.17
35.77,129.18
35.76,129.19
35.77,129.2
35.76,129.19
35.78,129.19
35.75,129.18
35.78,129.2
35.77,129.19
35.76,129.18
35.79,129.2
35.76,129.19
35.76,129.18
35.76,129.17
35.78,129.2
35.76,129.17
35.81,129.23
35.76,129.19
35.75,129.16
35.76,129.18
35.77,129.17
35.77,129.18
35.77,129.19
35.77,129.19
35.76,129.18
35.78,129.18
35.76,129.02
35.76,129.19
35.76,129.16
35.77,129.19
35.77,129.19
35.76,129.18
35.76,129.19
35.76,129.18
35.77,129.18
35.76,129.18
35.77,129.18
35.77,129.19
35.76,129.17
35.75,129.18
35.77,129.19
35.76,129.19
35.76,129.18
35.76,129.18
35.76,129.19
35.76,129.19
35.78,129.21
35.76,129.18
35.77,129.17
35.75,129.19
35.77,129.18
35.75,129.17
35.77,129.18
35.77,129.18
35.76,129.17
35.78,129.19
35.75,129.18
35.75,129.17
35.78,129.19
35.76,129.17
35.77,129.19
35.77,129.18
35.77,129.18
35.78,129.18
35.77,129.19
35.77,129.18
35.76,129.17
35.76,129.17
35.76,129.18
35.78,129.19
35.76,129.18
35.76,129.18
35.76,129.18
35.78,129.19
35.76,129.16
35.77,129.17
35.77,129.17
35.77,129.17
35.76,129.18
35.76,129.17
35.76,129.2
35.75,129.17
35.75,129.18
35.77,129.18
35.76,129.18
35.76,129.17
35.73,129.36
35.75,129.18
35.77,129.18
35.76,129.18
35.77,129.17
33.93,126.62
35.78,129.19
35.77,129.18
35.77,129.17
35.76,129.17
35.76,129.18
35.77,129.19
35.76,129.19
35.78,129.19
35.76,129.17
35.75,129.18
35.76,129.18
35.74,129.17
35.76,129.18
35.76,129.18
35.76,129.18
35.76,129.17
35.75,129.18
35.76,129.17
35.74,129.18
35.75,129.17
35.76,129.2
35.77,129.19
35.76,129.18
35.77,129.18
35.78,129.15
35.75,129.18
35.76,129.18
35.76,129.18
35.76,129.18
35.79,129.19
35.76,129.18
35.77,129.17
35.76,129.18
35.77,129.16
35.76,129.16
35.75,129.18
35.76,129.18
35.76,129.18
35.75,129.19
35.76,129.19
35.77,129.23
35.75,129.18
35.76,129.18
35.76,129.19
35.74,129.18
35.76,129.17
35.76,129.19
35.75,129.17
35.78,129.2
35.76,129.19
35.7,129.37
35.75,129.18
35.76,129.19
35.76,129.19
35.77,129.19
35.76,129.19
35.77,129.18
35.69,129.36
35.77,129.17
35.76,129.18
35.76,129.18
36.54,128.08
35.76,129.17
35.76,129.19
36.12,129.36
